City,Area,Type of Property,Transaction Type,Property Lifespan,Commercial,Covered Area,Bedrooms,Bathrooms,Balconies,House Help Room,Store Room,Puja Room,Study,dist_to_csia_airport_km,dist_to_thane_station_km,dist_to_andheri_station_km,dist_to_csmt_station_km,dist_to_nariman_point_km,dist_to_andheri_east_comm_km,dist_to_marine_drive_km,dist_to_navi_mumbai_airport_km,dist_to_vashi_station_km,dist_to_sanjay_gandhi_np_km,dist_to_phoenix_mall_kurla_km,dist_to_kokilaben_hospital_km,dist_to_dh_ambani_school_km,Furnished Type,Floor Level,Facing,Power Back Up,Lift,Club House,Swimming Pool,Park,Parking,Security,Water Storage,Vaastu Compliant,Visitor Parking,Intercom Facility,Maintenance Staff,Internet/Wi-Fi Connectivity,DTH Television Facility,Piped Gas,Jogging and Strolling Track
Mumbai,Kandivali East,Apartment,New Property,New construction,Y,1603.0,3,3.0,2.0,1,1,1,1,12.86,12.03,9.66,29.61,31.32,10.04,29.35,31.85,20.85,2.77,14.12,10.07,16.15,Unfurnished,High rise (> 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,Dadar East,Apartment,Resale,Less than 5 years,Y,3500.0,4,5.0,1.0,1,1,1,1,8.28,22.89,11.52,8.65,10.51,11.0,8.59,21.18,16.42,23.78,7.88,11.77,4.93,Semi-Furnished,Mid rise (5 to 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thane,Kalyan West,Apartment,New Property,New construction,N,672.0,1,2.0,1.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,Low rise (< 5),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,Vile Parle West,Apartment,Resale,Above 20 years,N,864.0,1,2.0,2.0,0,0,0,0,3.1,16.87,1.87,18.22,19.86,2.4,17.89,25.99,17.08,14.17,5.4,2.09,5.3,Unfurnished,Low rise (< 5),East,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0
Mumbai,Dadar East,Apartment,New Property,New construction,N,2015.0,3,4.0,1.0,1,1,1,1,13.08,2.7,12.97,28.4,30.42,11.93,28.61,22.9,11.73,12.54,12.44,14.55,15.83,Unfurnished,High rise (> 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,Vile Parle East,Apartment,New Property,New construction,N,1150.0,2,2.0,1.0,1,1,1,1,0.96,16.28,4.81,16.03,17.87,3.83,15.93,22.26,13.86,16.57,1.87,5.83,2.47,Unfurnished,Mid rise (5 to 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,Dahisar East,Apartment,Resale,15 to 20 years,N,1570.0,3,3.0,1.0,0,0,0,0,17.69,13.61,14.46,34.44,36.14,14.88,34.17,35.7,24.52,2.12,18.89,14.75,20.99,Furnished,High rise (> 10),West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai,Kandivali East,Apartment,Resale,5 to 10 years,N,1433.752918434464,3,3.0,1.0,1,1,1,1,12.86,12.03,9.66,29.61,31.32,10.04,29.35,31.85,20.85,2.77,14.12,10.07,16.15,Unfurnished,High rise (> 10),North,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thane,Thane West,Apartment,New Property,New construction,N,663.75,2,2.0,1.0,1,1,1,1,19.8,4.83,18.8,35.66,37.67,18.1,35.83,28.55,17.91,12.93,19.5,20.13,22.8,Unfurnished,Mid rise (5 to 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mumbai,Dadar West,Apartment,Resale,Less than 5 years,N,1100.0,2,2.0,2.0,1,0,1,1,8.05,23.11,11.01,9.0,10.73,10.64,8.77,22.34,17.28,23.34,7.99,11.1,4.76,Semi-Furnished,High rise (> 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
