Area Name,latitude,longitude
4 Bunglows,19.0448524,72.9101569
AP Narayan Chowk,19.054999,72.8692035
Aarey Milk Colony,19.156136009090908,72.87214737272727
Adv RD Kowte Chowk,19.054999,72.8692035
Agashi,19.054999,72.8692035
Agripada,18.97504,72.8250555
Air India Colony,19.0811434,72.8672075
Akurli Nagar,19.1983142,72.8606474
Alika Nagar,19.054999,72.8692035
Amboli,19.129102226315787,72.8495487368421
Amrut Nagar,19.097629,72.906931
Anand Nagar,19.0993828,72.9115929
Anand Nagar Santacruz East,19.054999,72.8692035
Anand Nagar Thane West,19.194329399999997,72.9701779
Andheri East,19.115916384175083,72.85425474612795
Andheri West,19.117883137570622,72.83440361242937
Appa Pada,19.054999,72.8692035
Asavari,19.054999,72.8692035
Asha Nagar,19.2117163,72.8646991
Ashok Nagar Western Mumbai,19.054999,72.8692035
Ashok Van,19.054999,72.8692035
Azad Nagar,19.0920602,72.8994007
Azad Nagar 2,19.1283153,72.8400381
Azad Nagar JJC,19.054999,72.8692035
Balaji Nagar,19.0770657,72.8641628
Balkum Naka,19.2215076,72.9895452
Balkum village,19.1943294,72.9701779
Bamandaya Pada,19.054999,72.8692035
Bander Pakhadi,19.054999,72.8692035
Bandivali,19.054999,72.8692035
Bhavani Nagar,19.1222707,72.8827429
Bhayandarpada,19.1943294,72.9701779
Bhoiwada,19.0050981,72.846061
Bimbisar Nagar,19.1463857,72.8573019
Bolinj,19.054999,72.8692035
Brahmand,19.244844049999998,72.98141705
Brhmanwada,19.0311964,72.8546111
CAMA Industrial Estate,19.054999,72.8692035
Century Bazaar,19.054999,72.8692035
Chakala,19.11469634,72.86222243
Chakki Naka,19.1943294,72.9701779
Chandrakant Dhuru Wadi,19.054999,72.8692035
Charai,19.1975702,72.9752791
Charkop,19.2141193,72.8258652
Charkop Industrial Estate,19.054999,72.8692035
Charkop Sector 2,19.2129962,72.8222443
Charkop Sector 3,19.2185019,72.8263249
Charkop Sector 6,19.2141193,72.8258652
Charkop Sector 8,19.215731666666667,72.81383576666667
Charkop Sector 9,19.218922,72.8189833
Charkop Village,19.2072955,72.818547
Chembur East,19.073440254411768,72.85124731470587
Chembur West,19.0764391,72.8769066
Chikhal Dongari,19.054999,72.8692035
Chulne,19.054999,72.8692035
Churchgate,18.9354797,72.8271741
Churi Wadi,19.054999,72.8692035
D.N. Nagar,19.1282826,72.8302354
DN Nagar,19.1278285,72.8308602
Dadar East,19.0162531,72.8522274
Dadar TT Circle,19.0178102,72.8478023
Dadar West,19.021184133333332,72.84203848666667
Dahisar East,19.2486925,72.8640593
Dahisar West,19.248875,72.852959
Dattaguru nagar,19.054999,72.8692035
Dattani Park,19.2128431,72.8691088
Desai Village,19.113127,72.8810625
Dhanji Wadi,19.0827025,72.9085198
Dhanukar Wadi,19.207197,72.837984
Dhokali,19.226259,72.98352907096775
Dhumal Nagar,19.054999,72.8692035
Dindoshi,19.1740198,72.8695219
Dombivli East,19.21122592955665,73.09124129876847
Dombivli West,19.2221822,73.0809274
Ekta Nagar Charkop,19.2124463,72.8380335
Film City,19.1682973,72.8811923
Film City Road,19.170072925,72.8752793
Five Gardens,19.0195436,72.8537835
Four Bungalows,19.1287942,72.8255543
Ganesh Nagar,19.0552238,72.8938192
Ganesh Nagar JJC Area,19.054999,72.8692035
Gilbert Hill JJC,19.054999,72.8692035
Gokul Township,19.054999,72.8692035
Gokuldham,19.173198127272727,72.86792040909091
Golani Naka,19.054999,72.8692035
Golibar,19.0702213,72.8431601
Gomant Nagar,19.054999,72.8692035
Gondavali Gaothan,19.054999,72.8692035
Goregaon East,19.169372696774193,72.85568109274193
Grant Road,18.963354899999995,72.8158261
Gulmohar Road,19.108617,72.8369278
Hanuman Nagar,19.1412761,72.9207605
Hasmukh Nagar,19.0853266,72.8353962
Hind Nagar,19.123,72.8539
Hindu Colony,19.0199623,72.8478929
Hiranandani Estate,19.256924956565655,72.98385651818181
ITT Bhatti,19.054999,72.8692035
Indira Nagar,19.036052,72.8635501
Irani Wada,19.054999,72.8692035
Irla,19.1080937,72.8436845
JB Nagar,19.1067873,72.8640984
Jakhadevi Chowk,19.0135812,72.8337984
Jambli Naka,19.1925842,72.9779552
Jayprakash Nagar,19.1633383,72.8541442
Jijamata Road,19.1258151,72.8612347
Jogeshwari East,19.142944195652174,72.85518734782609
Jogeshwari Vikhroli Link Road,19.130754555882355,72.8891771264706
Jogeshwari West,19.13655146716418,72.8375458880597
Joshi Wadi,19.0812318,72.9061599
Kaka Sahab Dadarkar Chowk,19.054999,72.8692035
Kalina,19.079273,72.8612672
Kalyan East,19.22738277368421,73.13144065657895
Kalyan West,19.240540401503758,73.12509393157895
