City,Area,Type of Property,Transaction Type,Property Lifespan,Commercial,Covered Area,Bedrooms,Bathrooms,Balconies,House Help Room,Store Room,Puja Room,Study,dist_to_csia_airport_km,dist_to_thane_station_km,dist_to_andheri_station_km,dist_to_csmt_station_km,dist_to_nariman_point_km,dist_to_andheri_east_comm_km,dist_to_marine_drive_km,dist_to_navi_mumbai_airport_km,dist_to_vashi_station_km,dist_to_sanjay_gandhi_np_km,dist_to_phoenix_mall_kurla_km,dist_to_kokilaben_hospital_km,dist_to_dh_ambani_school_km,Furnished Type,Floor Level,Facing,Power Back Up,Lift,Club House,Swimming Pool,Park,Parking,Security,Water Storage,Vaastu Compliant,Visitor Parking,Intercom Facility,Maintenance Staff,Internet/Wi-Fi Connectivity,DTH Television Facility,Piped Gas,Jogging and Strolling Track,Price (Crores)
Thane,Kalyan West,Apartment,New Property,New construction,Y,763.5719430449224,2,2.0,2.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,High rise (> 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.63
Thane,Kalyan West,Apartment,New Property,New construction,N,850.0,2,2.0,2.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,High rise (> 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.54
Thane,Kalyan West,Apartment,New Property,Less than 5 years,N,1050.0,2,2.0,3.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,Mid rise (5 to 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
Thane,Kalyan West,Apartment,New Property,New construction,Y,561.0,1,2.0,1.0,1,1,1,0,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Semi-Furnished,Mid rise (5 to 10),East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.495
Thane,Kalyan West,Apartment,New Property,New construction,N,1067.0,2,2.0,1.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,High rise (> 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.657
Thane,Kalyan West,Apartment,New Property,5 to 10 years,N,592.0,1,1.0,1.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,High rise (> 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3449
Thane,Kalyan West,Apartment,New Property,New construction,Y,595.0,1,1.0,1.0,1,1,0,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,Mid rise (5 to 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.49
Thane,Kalyan West,Apartment,Resale,Less than 5 years,N,695.0,1,1.0,1.0,1,1,0,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,High rise (> 10),North-West,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47
Thane,Kalyan West,Apartment,Resale,10 to 15 years,N,960.0,2,2.0,2.0,1,0,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,Mid rise (5 to 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7
Thane,Kalyan West,Apartment,New Property,New construction,N,1010.0,2,2.0,2.0,1,1,1,1,32.01,16.86,32.22,45.19,47.27,31.16,45.7,30.01,23.31,27.87,30.9,33.78,34.33,Unfurnished,Mid rise (5 to 10),North-East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7
