iter	RMSE
0	0.5600571722
1	0.5163616177
2	0.4770295569
3	0.4389230957
4	0.4081647913
5	0.3797208222
6	0.3527846362
7	0.3300728485
8	0.3084706937
9	0.2909704618
10	0.2731696302
11	0.2578293802
12	0.2447234134
13	0.2330563864
14	0.223375317
15	0.2149681149
16	0.2070148946
17	0.2000940703
18	0.1937649172
19	0.188435567
20	0.1839990303
21	0.1797848168
22	0.1755899136
23	0.1722845314
24	0.1692894201
25	0.1662660088
26	0.1639823024
27	0.1621872753
28	0.1603260309
29	0.1586354529
30	0.1571669344
31	0.1558434111
32	0.1547252805
33	0.1537225732
34	0.15267077
35	0.1518048841
36	0.150949357
37	0.1501918493
38	0.1493700324
39	0.1486405609
40	0.1479182135
41	0.147413194
42	0.1468915414
43	0.1463388052
44	0.1459793534
45	0.1453097624
46	0.1446713404
47	0.1442740242
48	0.1439028041
49	0.1435352001
50	0.1430016791
51	0.1425727303
52	0.142177933
53	0.1417935037
54	0.1412561012
55	0.1408149061
56	0.1404334297
57	0.1401385579
58	0.1395655985
59	0.1391995686
60	0.1387757539
61	0.1385218432
62	0.1383408438
63	0.1379025176
64	0.1375691696
65	0.1373854305
66	0.1370390596
67	0.136800904
68	0.1364849746
69	0.1361241271
70	0.1359069779
71	0.1354441996
72	0.1351182248
73	0.1347113484
74	0.1345521496
75	0.1342624669
76	0.1340236435
77	0.1337981229
78	0.1336209903
79	0.1331546378
80	0.1328399267
81	0.1324482836
82	0.1320374365
83	0.1318279111
84	0.1314571968
85	0.1313187393
86	0.1310512333
87	0.130838266
88	0.1307168209
89	0.1305087729
90	0.130318152
91	0.1300511353
92	0.1297508234
93	0.1295353299
94	0.1291708901
95	0.1288778676
96	0.1287177432
97	0.1285551709
98	0.1284160049
99	0.1281956545
100	0.127870073
101	0.1275514059
102	0.1273682458
103	0.1272302837
104	0.1269429659
105	0.1265941008
106	0.1263170711
107	0.12603609
108	0.1258524071
109	0.1255622645
110	0.1254143619
111	0.1251738222
112	0.1248113258
113	0.1246453922
114	0.1242747704
115	0.1240619384
116	0.1237790464
117	0.1236533287
118	0.1235373649
119	0.1231837205
120	0.1229830129
121	0.1226692171
122	0.1224869697
123	0.1220665198
124	0.12191128
125	0.1217203714
126	0.1214506351
127	0.1211809132
128	0.1208598088
129	0.1207228451
130	0.1204216355
131	0.1201535428
132	0.1198972363
133	0.1198600307
134	0.119675477
135	0.1194473478
136	0.1192374946
137	0.1190617587
138	0.1187075608
139	0.1184095426
140	0.1182841542
141	0.1180687873
142	0.1178626675
143	0.1176028302
144	0.1174399847
145	0.1173799582
146	0.1171360884
147	0.1169827455
148	0.1168911586
149	0.1166240454
150	0.1164886249
151	0.1162749673
152	0.1159577912
153	0.1156672289
154	0.11538343
155	0.1152391989
156	0.1149081001
157	0.1145033512
158	0.1143740663
159	0.1141269706
160	0.113920273
161	0.1136937832
162	0.1133885554
163	0.1132942873
164	0.1130935238
165	0.1128140668
166	0.1126959541
167	0.1124041009
168	0.1122396332
169	0.1119195173
170	0.1119132447
171	0.1117267775
172	0.111627583
173	0.1114300269
174	0.1111429968
175	0.1109820609
176	0.1108004752
177	0.1105146687
178	0.1102331033
179	0.1101167561
180	0.109927065
181	0.1098068114
182	0.1096092753
183	0.1095303316
184	0.1093907428
185	0.109235776
186	0.1090606608
187	0.1089461469
188	0.1087386514
189	0.1085431313
190	0.108419181
191	0.1081041015
192	0.1079907719
193	0.1077594341
194	0.1076347013
195	0.1074712591
196	0.1073394629
197	0.107203327
198	0.107061769
199	0.1069210329
200	0.1068568941
201	0.1067431525
202	0.1067043399
203	0.1064150103
204	0.1061927073
205	0.106015738
206	0.1058910473
207	0.1057010158
208	0.1055649786
209	0.1053779597
210	0.1051759041
211	0.1050582954
212	0.104906911
213	0.1047995383
214	0.1046818886
215	0.1046054374
216	0.1044402409
217	0.1043182462
218	0.1042260481
219	0.1040130418
220	0.1038409547
221	0.1036612181
222	0.1033427974
223	0.1032665644
224	0.1030116656
225	0.1027598109
226	0.1026172753
227	0.1025704986
228	0.1023367808
229	0.1021596445
230	0.1018685713
231	0.101711667
232	0.1014145445
233	0.1011335822
234	0.1009649924
235	0.1007577577
236	0.1005291163
237	0.1003212674
238	0.1001689323
239	0.1000008443
240	0.09985369291
241	0.09964380703
242	0.0994608375
243	0.09929719124
244	0.09903105472
245	0.09882658322
246	0.09872683614
247	0.09850983632
248	0.0983918741
249	0.09817342418
250	0.09801975279
251	0.0977584201
252	0.09773326678
253	0.09755162297
254	0.09744109193
255	0.09724072691
256	0.09711928575
257	0.09701554964
258	0.096867773
259	0.09673339786
260	0.0966265719
261	0.09644038756
262	0.09631324156
263	0.09621270423
264	0.09603111635
265	0.09597983699
266	0.09578816819
267	0.09562859737
268	0.09543021654
269	0.09524207991
270	0.0951405576
271	0.0950538282
272	0.09479938386
273	0.09467878554
274	0.09452630498
275	0.0943555411
276	0.09415391727
277	0.09399807617
278	0.09389152735
279	0.09374822506
280	0.09352233881
281	0.09326524857
282	0.09310197961
283	0.0930750368
284	0.09299211019
285	0.09293669238
286	0.09284134855
287	0.09266438486
288	0.09257582514
289	0.092450379
290	0.09234344956
291	0.09221141207
292	0.09212534695
293	0.09199345142
294	0.09175864722
295	0.09166841382
296	0.09152063176
297	0.09135509316
298	0.09123904312
299	0.09102336661
