iter	Passed	Remaining
0	156	46890
1	169	25274
2	183	18145
3	196	14553
4	212	12520
5	219	10775
6	231	9710
7	245	8954
8	258	8349
9	270	7844
10	284	7462
11	297	7140
12	311	6882
13	324	6623
14	336	6396
15	349	6211
16	362	6039
17	375	5888
18	388	5750
19	403	5651
20	418	5557
21	431	5458
22	446	5373
23	460	5292
24	473	5211
25	486	5126
26	499	5052
27	513	4992
28	527	4933
29	540	4868
30	553	4805
31	566	4746
32	579	4692
33	593	4642
34	606	4593
35	619	4544
36	633	4505
37	647	4464
38	660	4422
39	674	4381
40	687	4342
41	700	4301
42	714	4268
43	728	4239
44	742	4206
45	755	4172
46	769	4143
47	782	4109
48	796	4078
49	809	4046
50	823	4019
51	836	3990
52	851	3967
53	864	3936
54	878	3911
55	892	3890
56	906	3865
57	919	3836
58	932	3809
59	947	3788
60	962	3769
61	975	3744
62	989	3720
63	1003	3699
64	1017	3679
65	1031	3658
66	1046	3638
67	1063	3628
68	1077	3607
69	1091	3587
70	1106	3567
71	1120	3548
72	1133	3524
73	1146	3500
74	1160	3480
75	1175	3466
76	1189	3444
77	1202	3423
78	1215	3400
79	1228	3378
80	1242	3359
81	1257	3343
82	1271	3323
83	1284	3303
84	1297	3282
85	1310	3260
86	1324	3241
87	1337	3221
88	1351	3203
89	1364	3183
90	1379	3167
91	1392	3147
92	1405	3128
93	1419	3111
94	1433	3094
95	1447	3075
96	1460	3056
97	1474	3040
98	1487	3020
99	1501	3003
100	1514	2983
101	1526	2963
102	1540	2946
103	1554	2928
104	1568	2912
105	1581	2894
106	1595	2878
107	1608	2859
108	1621	2842
109	1635	2825
110	1649	2807
111	1662	2789
112	1674	2771
113	1689	2756
114	1703	2740
115	1716	2723
116	1731	2708
117	1746	2693
118	1759	2675
119	1771	2657
120	1784	2640
121	1799	2624
122	1814	2611
123	1828	2595
124	1841	2578
125	1854	2561
126	1867	2544
127	1881	2527
128	1894	2510
129	1907	2494
130	1920	2477
131	1934	2462
132	1948	2446
133	1961	2430
134	1975	2414
135	1988	2398
136	2002	2382
137	2017	2367
138	2030	2352
139	2043	2335
140	2056	2318
141	2068	2302
142	2081	2285
143	2094	2269
144	2107	2253
145	2121	2237
146	2133	2221
147	2146	2204
148	2159	2188
149	2173	2173
150	2186	2157
151	2198	2141
152	2212	2126
153	2231	2115
154	2249	2104
155	2264	2090
156	2279	2076
157	2293	2061
158	2306	2045
159	2321	2031
160	2338	2018
161	2352	2004
162	2366	1989
163	2384	1977
164	2402	1965
165	2419	1952
166	2439	1943
167	2456	1930
168	2475	1918
169	2490	1904
170	2503	1888
171	2516	1872
172	2530	1857
173	2543	1841
174	2557	1826
175	2570	1811
176	2584	1796
177	2597	1780
178	2610	1764
179	2623	1749
180	2637	1734
181	2652	1719
182	2668	1705
183	2685	1693
184	2703	1680
185	2720	1667
186	2737	1654
187	2754	1641
188	2772	1628
189	2788	1614
190	2804	1600
191	2818	1585
192	2832	1570
193	2845	1554
194	2859	1539
195	2872	1524
196	2889	1510
197	2904	1496
198	2919	1481
199	2934	1467
200	2949	1452
201	2964	1438
202	2979	1423
203	2993	1408
204	3007	1393
205	3021	1378
206	3036	1364
207	3050	1349
208	3063	1334
209	3078	1319
210	3091	1304
211	3105	1289
212	3119	1274
213	3134	1259
214	3149	1245
215	3165	1230
216	3179	1216
217	3193	1201
218	3207	1186
219	3220	1171
220	3235	1156
221	3250	1142
222	3265	1127
223	3281	1113
224	3297	1099
225	3312	1084
226	3326	1069
227	3340	1054
228	3353	1039
229	3367	1024
230	3382	1010
231	3399	996
232	3415	982
233	3430	967
234	3445	952
235	3459	938
236	3473	923
237	3487	908
238	3501	893
239	3515	878
240	3529	864
241	3545	849
242	3560	835
243	3575	820
244	3589	805
245	3601	790
246	3615	775
247	3630	761
248	3646	746
249	3661	732
250	3677	718
251	3695	703
252	3711	689
253	3726	674
254	3739	659
255	3753	645
256	3765	630
257	3778	615
258	3792	600
259	3807	585
260	3822	571
261	3836	556
262	3849	541
263	3861	526
264	3874	511
265	3888	497
266	3902	482
267	3914	467
268	3928	452
269	3942	438
270	3955	423
271	3970	408
272	3984	394
273	3998	379
274	4012	364
275	4027	350
276	4042	335
277	4057	321
278	4072	306
279	4087	291
280	4101	277
281	4115	262
282	4127	247
283	4142	233
284	4157	218
285	4171	204
286	4185	189
287	4199	174
288	4212	160
289	4225	145
290	4239	131
291	4254	116
292	4268	101
293	4282	87
294	4296	72
295	4308	58
296	4322	43
297	4336	29
298	4351	14
299	4366	0
